Date,Open,Close,High,Low,Volume,macd,macd_h,macd_s,rs,rsi,SMA_50,SMA_200,Output
2019-04-01,297.0,297.25,299.2,296.55,6203276,4.2,0.09,4.11,1.54,60.6,284.46,285.2,0.0
2019-04-02,297.4,297.9,300.0,294.65,9849417,4.13,0.02,4.11,1.59,61.38,284.54,285.33,0.0
2019-04-03,298.0,296.15,299.0,295.15,9064767,3.9,-0.17,4.07,1.38,58.06,284.58,285.47,0.0
2019-04-04,296.0,294.8,297.3,293.75,6965053,3.56,-0.41,3.97,1.25,55.56,284.65,285.6,0.0
2019-04-05,295.05,294.55,296.4,292.65,7806991,3.23,-0.59,3.82,1.23,55.09,284.74,285.72,0.0
2019-04-08,294.65,292.75,295.0,291.7,5288853,2.8,-0.82,3.61,1.07,51.69,284.8,285.85,0.0
2019-04-09,292.5,296.3,296.7,292.25,6175672,2.71,-0.73,3.43,1.34,57.29,285.18,285.99,0.0
2019-04-10,296.05,294.7,296.55,293.5,5334642,2.48,-0.77,3.24,1.19,54.24,285.5,286.14,0.0
2019-04-11,294.55,296.4,297.45,293.0,10764968,2.4,-0.67,3.07,1.32,56.87,285.84,286.3,0.0
2019-04-12,296.65,305.75,307.4,295.6,21818291,3.07,-0.01,3.07,2.11,67.83,286.46,286.5,0.0
2019-04-15,307.9,305.5,310.0,304.35,12612414,3.53,0.37,3.16,2.06,67.34,287.0,286.71,0.0
2019-04-16,306.8,307.2,309.95,306.15,9746168,3.99,0.66,3.33,2.22,68.98,287.64,286.94,0.0
2019-04-18,308.25,304.4,308.25,303.55,8838122,4.08,0.6,3.48,1.73,63.31,288.15,287.14,0.0
2019-04-22,303.85,301.8,305.5,301.05,6672456,3.9,0.33,3.56,1.41,58.5,288.57,287.33,0.0
2019-04-23,302.15,303.4,304.8,301.55,7496038,3.84,0.22,3.62,1.53,60.49,289.1,287.52,0.0
2019-04-24,303.4,306.45,307.2,298.5,11447878,3.99,0.3,3.69,1.78,64.03,289.75,287.74,0.0
2019-04-25,307.25,304.15,309.8,302.0,23240675,3.88,0.15,3.73,1.48,59.69,290.27,287.96,0.0
2019-04-26,304.6,304.55,306.4,302.55,4654775,3.78,0.04,3.74,1.51,60.2,290.76,288.15,0.0
2019-04-30,304.55,301.35,307.55,299.5,11163210,3.41,-0.27,3.67,1.19,54.33,291.28,288.35,0.0
2019-05-02,301.1,305.0,306.5,300.6,7493271,3.37,-0.25,3.61,1.45,59.21,291.83,288.54,0.0
2019-05-03,304.25,304.25,307.45,303.3,5885895,3.23,-0.3,3.54,1.37,57.84,292.41,288.74,0.0
2019-05-06,304.0,307.0,307.5,300.75,6737627,3.31,-0.18,3.49,1.59,61.37,293.0,288.91,0.0
2019-05-07,308.25,301.9,309.5,300.85,8655871,2.93,-0.45,3.38,1.11,52.58,293.43,289.06,0.0
2019-05-08,300.0,300.65,303.4,298.65,7876031,2.5,-0.7,3.2,1.03,50.67,293.95,289.19,0.0
2019-05-09,299.4,299.85,301.3,296.35,10223616,2.07,-0.91,2.98,0.98,49.43,294.43,289.31,0.0
2019-05-10,300.0,297.75,300.45,296.9,6904657,1.54,-1.15,2.69,0.86,46.23,294.87,289.42,0.0
2019-05-13,295.1,289.3,303.5,287.7,35880558,0.43,-1.8,2.24,0.56,36.1,295.15,289.48,0.0
2019-05-14,291.0,294.35,298.25,288.85,21145245,-0.03,-1.82,1.78,0.79,44.0,295.55,289.6,0.0
2019-05-15,297.55,297.05,299.3,292.0,17894032,-0.19,-1.58,1.39,0.91,47.72,295.96,289.72,0.0
2019-05-16,297.0,294.75,297.0,293.25,7354375,-0.49,-1.5,1.02,0.82,44.98,296.35,289.85,0.0
2019-05-17,295.1,301.4,302.35,295.1,11194900,-0.18,-0.96,0.78,1.14,53.32,296.87,290.01,0.0
2019-05-20,306.85,307.0,307.55,302.1,11013451,0.5,-0.22,0.72,1.44,58.97,297.49,290.18,0.0
2019-05-21,307.0,305.9,310.0,305.3,10518883,0.94,0.18,0.76,1.35,57.5,298.04,290.34,0.0
2019-05-22,302.15,299.75,302.8,296.8,13737694,0.79,0.02,0.77,1.0,49.99,298.39,290.42,0.0
2019-05-23,305.0,288.2,305.6,287.0,31380501,-0.26,-0.83,0.56,0.65,39.55,298.44,290.43,0.0
2019-05-24,291.5,290.45,291.65,287.3,10879657,-0.9,-1.17,0.27,0.73,42.08,298.44,290.45,0.0
2019-05-27,291.25,290.85,293.55,289.05,9024193,-1.36,-1.31,-0.06,0.74,42.55,298.42,290.47,0.0
2019-05-28,291.8,288.9,292.0,288.1,15598601,-1.86,-1.45,-0.42,0.69,40.84,298.34,290.4,0.0
2019-05-29,288.8,288.1,291.7,287.6,7255516,-2.3,-1.5,-0.79,0.67,40.12,298.21,290.34,0.0
2019-05-30,289.0,288.65,291.05,288.3,8656311,-2.57,-1.42,-1.15,0.69,40.89,298.09,290.29,0.0
2019-05-31,289.35,278.55,291.5,277.45,26281811,-3.56,-1.93,-1.63,0.48,32.65,297.75,290.18,0.0
2019-06-03,281.4,278.55,281.5,275.3,19569620,-4.29,-2.13,-2.16,0.48,32.65,297.5,290.07,0.0
2019-06-04,279.25,279.25,282.15,278.8,13850737,-4.76,-2.08,-2.68,0.51,33.73,297.22,289.95,0.0
2019-06-06,280.4,275.75,280.4,275.3,10660963,-5.35,-2.14,-3.22,0.45,31.06,296.74,289.82,0.0
2019-06-07,276.8,275.25,276.8,274.2,7699206,-5.8,-2.07,-3.73,0.44,30.69,296.27,289.69,0.0
2019-06-10,278.3,279.4,280.55,276.9,8615348,-5.75,-1.61,-4.14,0.6,37.41,295.89,289.58,0.0
2019-06-11,280.9,279.85,281.4,279.2,8461371,-5.61,-1.18,-4.43,0.62,38.11,295.59,289.47,0.0
2019-06-12,281.4,279.95,281.4,278.25,8247867,-5.43,-0.8,-4.63,0.62,38.27,295.32,289.35,0.0
2019-06-13,278.9,280.6,281.35,278.55,7198584,-5.17,-0.43,-4.74,0.65,39.41,295.07,289.22,0.0
2019-06-14,280.5,278.05,280.5,277.15,7908039,-5.11,-0.3,-4.81,0.58,36.57,294.63,289.07,0.0
2019-06-17,278.85,275.0,278.85,274.45,10013278,-5.26,-0.35,-4.9,0.5,33.47,294.19,288.91,0.0
2019-06-18,276.15,275.1,277.85,274.0,13845733,-5.3,-0.32,-4.98,0.51,33.67,293.73,288.71,0.0
2019-06-19,275.7,277.2,278.9,275.6,9046515,-5.1,-0.1,-5.01,0.61,37.86,293.35,288.53,0.0
2019-06-20,277.0,277.0,277.95,275.35,10566110,-4.91,0.08,-4.99,0.6,37.62,293.0,288.35,0.0
2019-06-21,276.65,274.25,276.65,273.25,18595809,-4.92,0.05,-4.97,0.52,34.34,292.59,288.17,0.0
2019-06-24,274.25,276.25,277.5,274.25,8935066,-4.71,0.21,-4.92,0.63,38.54,292.26,287.99,0.0
2019-06-25,275.05,278.5,280.0,274.25,12379897,-4.32,0.48,-4.8,0.75,42.95,291.9,287.82,0.0
2019-06-26,278.45,277.4,278.7,276.35,7421269,-4.05,0.6,-4.65,0.71,41.39,291.56,287.65,0.0
2019-06-27,277.95,273.5,278.2,272.8,23308215,-4.1,0.44,-4.54,0.57,36.33,291.1,287.45,0.0
2019-06-28,274.1,273.85,275.45,272.5,8449727,-4.07,0.38,-4.44,0.59,37.07,290.46,287.22,0.0
2019-07-01,274.4,274.95,276.25,274.15,5042447,-3.91,0.43,-4.34,0.65,39.46,289.85,287.0,0.0
2019-07-02,275.35,273.85,275.65,273.2,9976439,-3.82,0.41,-4.23,0.61,37.91,289.18,286.8,0.0
